FE,N,Eval,lambda,Iteration,Alg
3244,2,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
4640,2,Sphere,50,1,cma-es-ppmf-dp-2-pt-0.1
6463,2,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
10049,2,Sphere,200,1,cma-es-ppmf-dp-2-pt-0.1
13544,2,Sphere,300,1,cma-es-ppmf-dp-2-pt-0.1
17643,2,Sphere,400,1,cma-es-ppmf-dp-2-pt-0.1
20039,2,Sphere,500,1,cma-es-ppmf-dp-2-pt-0.1
13023,5,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
12851,5,Sphere,50,1,cma-es-ppmf-dp-2-pt-0.1
15553,5,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
21707,5,Sphere,200,1,cma-es-ppmf-dp-2-pt-0.1
27691,5,Sphere,300,1,cma-es-ppmf-dp-2-pt-0.1
34084,5,Sphere,400,1,cma-es-ppmf-dp-2-pt-0.1
39077,5,Sphere,500,1,cma-es-ppmf-dp-2-pt-0.1
49059,10,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
41513,10,Sphere,50,1,cma-es-ppmf-dp-2-pt-0.1
43429,10,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
51254,10,Sphere,200,1,cma-es-ppmf-dp-2-pt-0.1
59597,10,Sphere,300,1,cma-es-ppmf-dp-2-pt-0.1
69372,10,Sphere,400,1,cma-es-ppmf-dp-2-pt-0.1
78155,10,Sphere,500,1,cma-es-ppmf-dp-2-pt-0.1
20393,30,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
300032,30,Sphere,50,1,cma-es-ppmf-dp-2-pt-0.1
300070,30,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
300092,30,Sphere,200,1,cma-es-ppmf-dp-2-pt-0.1
300096,30,Sphere,300,1,cma-es-ppmf-dp-2-pt-0.1
300348,30,Sphere,400,1,cma-es-ppmf-dp-2-pt-0.1
300098,30,Sphere,500,1,cma-es-ppmf-dp-2-pt-0.1
3387,2,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
4589,2,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
6564,2,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
10250,2,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
13845,2,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
17643,2,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
13265,5,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
13004,5,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
15957,5,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
21908,5,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
28293,5,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
34084,5,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
40079,5,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
50764,10,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
42023,10,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
44338,10,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
52259,10,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
61704,10,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
