FE,N,Eval,p_target,Iteration,Alg
500199,50,Ellips100,0.3,1,cma-es-ppmf-dp-2-pt-0.3
500199,50,Ellips100,0.4,1,cma-es-ppmf-dp-2-pt-0.4
500199,50,Ellips100,0.5,1,cma-es-ppmf-dp-2-pt-0.5
500199,50,Ellips100,0.6,1,cma-es-ppmf-dp-2-pt-0.6
500199,50,Ellips100,0.9,1,cma-es-ppmf-dp-2-pt-0.9
3479,2,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3775,2,Sphere,0.2,2,cma-es-ppmf-dp-2-pt-0.2
4367,2,Sphere,0.3,2,cma-es-ppmf-dp-2-pt-0.3
4887,2,Sphere,0.4,2,cma-es-ppmf-dp-2-pt-0.4
7847,2,Sphere,0.5,2,cma-es-ppmf-dp-2-pt-0.5
15615,2,Sphere,0.6,2,cma-es-ppmf-dp-2-pt-0.6
18575,2,Sphere,0.9,2,cma-es-ppmf-dp-2-pt-0.9
12519,5,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
13679,5,Sphere,0.2,2,cma-es-ppmf-dp-2-pt-0.2
15979,5,Sphere,0.3,2,cma-es-ppmf-dp-2-pt-0.3
20739,5,Sphere,0.4,2,cma-es-ppmf-dp-2-pt-0.4
28239,5,Sphere,0.5,2,cma-es-ppmf-dp-2-pt-0.5
50019,5,Sphere,0.6,2,cma-es-ppmf-dp-2-pt-0.6
23679,5,Sphere,0.9,2,cma-es-ppmf-dp-2-pt-0.9
41919,10,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
57239,10,Sphere,0.2,2,cma-es-ppmf-dp-2-pt-0.2
100039,10,Sphere,0.3,2,cma-es-ppmf-dp-2-pt-0.3
66079,10,Sphere,0.4,2,cma-es-ppmf-dp-2-pt-0.4
77319,10,Sphere,0.5,2,cma-es-ppmf-dp-2-pt-0.5
100039,10,Sphere,0.6,2,cma-es-ppmf-dp-2-pt-0.6
46639,10,Sphere,0.9,2,cma-es-ppmf-dp-2-pt-0.9
300119,30,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.2,2,cma-es-ppmf-dp-2-pt-0.2
300119,30,Sphere,0.3,2,cma-es-ppmf-dp-2-pt-0.3
300119,30,Sphere,0.4,2,cma-es-ppmf-dp-2-pt-0.4
300119,30,Sphere,0.5,2,cma-es-ppmf-dp-2-pt-0.5
300119,30,Sphere,0.6,2,cma-es-ppmf-dp-2-pt-0.6
300119,30,Sphere,0.9,2,cma-es-ppmf-dp-2-pt-0.9
500199,50,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Sphere,0.2,2,cma-es-ppmf-dp-2-pt-0.2
500199,50,Sphere,0.3,2,cma-es-ppmf-dp-2-pt-0.3
500199,50,Sphere,0.4,2,cma-es-ppmf-dp-2-pt-0.4
500199,50,Sphere,0.5,2,cma-es-ppmf-dp-2-pt-0.5
500199,50,Sphere,0.6,2,cma-es-ppmf-dp-2-pt-0.6
500199,50,Sphere,0.9,2,cma-es-ppmf-dp-2-pt-0.9
