FE,N,Eval,sigma,Iteration,Alg
4415,2,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4039,2,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
3831,2,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3503,2,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
3263,2,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
3023,2,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
2671,2,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
15859,5,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
14539,5,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
13719,5,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
12319,5,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
11539,5,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
10519,5,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
9259,5,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
53079,10,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
49679,10,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
46319,10,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
42599,10,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
38159,10,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
34799,10,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
31359,10,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
4663,2,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4239,2,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
3911,2,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3415,2,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
3303,2,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
2975,2,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
2703,2,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
16119,5,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
14839,5,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
13799,5,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
12679,5,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
11499,5,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
10459,5,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
9699,5,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
53879,10,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
50999,10,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
46519,10,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
43439,10,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
39799,10,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
35799,10,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
32399,10,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
4711,2,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4423,2,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4023,2,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3871,2,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
3511,2,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
3135,2,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
2831,2,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
16319,5,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
15219,5,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
14379,5,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
12879,5,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
11959,5,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
10799,5,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
9679,5,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
55519,10,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
51279,10,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
48199,10,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
44159,10,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
40879,10,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
37319,10,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
33799,10,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
