FE,N,Eval,lambda,Iteration,Alg
542123,100,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
55028,100,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
83223,100,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
124820,100,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
167656,100,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
210524,100,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
240479,100,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
376375,100,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
3882,2,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
2651,2,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
4140,2,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
6230,2,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
8126,2,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
10425,2,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
13526,2,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
7292,5,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
3977,5,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
5958,5,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
9446,5,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
13243,5,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
16841,5,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
20039,5,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
36035,5,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
4817,10,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
5660,10,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
8483,10,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
14270,10,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
20768,10,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
24460,10,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
29558,10,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
52051,10,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
14134,30,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
23816,30,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
32117,30,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
41204,30,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
51470,30,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
57342,30,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
69137,30,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
105104,30,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
66285,50,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
55997,50,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
71002,50,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
98087,50,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
116787,50,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
130324,50,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
145790,50,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
199198,50,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
586090,100,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
156569,100,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
202201,100,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
295067,100,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
358189,100,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
412628,100,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
452402,100,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
650649,100,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
3431,2,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
2600,2,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
3130,2,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
5828,2,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
7825,2,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
10024,2,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
11522,2,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
20019,2,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
5884,5,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
3518,5,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
5352,5,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
9245,5,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
12641,5,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
15237,5,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
18035,5,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
33032,5,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
4157,10,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
4742,10,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
7877,10,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
13466,10,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
18360,10,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
23257,10,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
27554,10,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
49048,10,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
7402,30,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
8108,30,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
13634,30,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
21506,30,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
30701,30,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
38896,30,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
47594,30,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
85084,30,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
64228,50,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
12188,50,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
21108,50,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
35576,50,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
46955,50,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
59748,50,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
68135,50,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
108107,50,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
502666,100,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
24275,100,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
39288,100,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
64922,100,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
94212,100,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
119497,100,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
141782,100,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
244243,100,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
3497,2,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
2141,2,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
3736,2,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
6230,2,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
8728,2,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
10826,2,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
12524,2,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
6038,5,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
3569,5,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
5857,5,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
9848,5,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
12641,5,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
15638,5,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
19037,5,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
35034,5,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
3948,10,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
4793,10,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
8180,10,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
13667,10,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
18962,10,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
23658,10,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
28055,10,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
49048,10,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
8040,30,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
13259,30,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
18179,30,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
28943,30,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
38828,30,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
44510,30,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
54107,30,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
87086,30,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
64844,50,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
22847,50,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
33733,50,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
58289,50,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
70132,50,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
80600,50,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
95690,50,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
141140,50,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
547590,100,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
53090,100,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
81001,100,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
127835,100,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
168258,100,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
208519,100,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
248495,100,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
374373,100,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
3552,2,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
2600,2,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
3938,2,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
6632,2,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
8126,2,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
11227,2,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
13025,2,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
8678,5,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
4079,5,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
5857,5,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
9848,5,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
13544,5,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
16841,5,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
19538,5,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
36035,5,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
7028,10,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
5762,10,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
8786,10,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
14672,10,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
20768,10,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
25262,10,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
29057,10,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
52051,10,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
13177,30,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
23867,30,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
31814,30,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
41807,30,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
50868,30,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
58946,30,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
64127,30,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
101100,30,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
64206,50,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
56150,50,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
71002,50,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
98489,50,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
116787,50,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
124710,50,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
146792,50,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
199198,50,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
517703,100,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
150857,100,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
200989,100,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
300092,100,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
351266,100,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
410623,100,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
465929,100,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
657656,100,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
3398,2,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
2753,2,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
3534,2,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
5828,2,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
7223,2,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
10024,2,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
11522,2,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
20019,2,Sphere,1000,5,cma-es-ppmf-dp-2-pt-0.1
8678,5,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
3518,5,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
5554,5,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
9044,5,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
12039,5,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
15638,5,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
19037,5,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
34033,5,Sphere,1000,5,cma-es-ppmf-dp-2-pt-0.1
3882,10,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
4538,10,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
7776,10,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
13265,10,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
18059,10,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
22856,10,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
27554,10,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
49048,10,Sphere,1000,5,cma-es-ppmf-dp-2-pt-0.1
21350,30,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
7802,30,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
12523,30,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
22511,30,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
31002,30,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
39698,30,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
46592,30,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
85084,30,Sphere,1000,5,cma-es-ppmf-dp-2-pt-0.1
65240,50,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
12545,50,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
19189,50,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
34571,50,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
45149,50,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
60149,50,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
69638,50,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
111110,50,Sphere,1000,5,cma-es-ppmf-dp-2-pt-0.1
569436,100,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
26111,100,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
38379,100,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
65927,100,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
94513,100,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
117091,100,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
143285,100,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
246245,100,Sphere,1000,5,cma-es-ppmf-dp-2-pt-0.1
3662,2,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
2906,2,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
3837,2,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
5627,2,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
8427,2,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
10024,2,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
12524,2,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips10,1000,5,cma-es-ppmf-dp-2-pt-0.1
4399,5,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
3824,5,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
5857,5,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
9245,5,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
12641,5,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
16039,5,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
18536,5,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
35034,5,Ellips10,1000,5,cma-es-ppmf-dp-2-pt-0.1
5191,10,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
4946,10,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
8079,10,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
13466,10,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
18661,10,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
23257,10,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
28556,10,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
50049,10,Ellips10,1000,5,cma-es-ppmf-dp-2-pt-0.1
20074,30,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
11984,30,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
17472,30,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
30149,30,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
35216,30,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
44109,30,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
50600,30,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
88087,30,Ellips10,1000,5,cma-es-ppmf-dp-2-pt-0.1
66769,50,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
24224,50,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
35551,50,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
53063,50,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
71035,50,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
83407,50,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
92684,50,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
134133,50,Ellips10,1000,5,cma-es-ppmf-dp-2-pt-0.1
519166,100,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
52121,100,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
81708,100,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
125021,100,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
168860,100,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
204910,100,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
243485,100,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
371370,100,Ellips10,1000,5,cma-es-ppmf-dp-2-pt-0.1
3629,2,Ellips100,10,5,cma-es-ppmf-dp-2-pt-0.1
2804,2,Ellips100,50,5,cma-es-ppmf-dp-2-pt-0.1
3938,2,Ellips100,100,5,cma-es-ppmf-dp-2-pt-0.1
6230,2,Ellips100,200,5,cma-es-ppmf-dp-2-pt-0.1
8126,2,Ellips100,300,5,cma-es-ppmf-dp-2-pt-0.1
11227,2,Ellips100,400,5,cma-es-ppmf-dp-2-pt-0.1
13025,2,Ellips100,500,5,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips100,1000,5,cma-es-ppmf-dp-2-pt-0.1
6401,5,Ellips100,10,5,cma-es-ppmf-dp-2-pt-0.1
3824,5,Ellips100,50,5,cma-es-ppmf-dp-2-pt-0.1
5958,5,Ellips100,100,5,cma-es-ppmf-dp-2-pt-0.1
10049,5,Ellips100,200,5,cma-es-ppmf-dp-2-pt-0.1
12942,5,Ellips100,300,5,cma-es-ppmf-dp-2-pt-0.1
16440,5,Ellips100,400,5,cma-es-ppmf-dp-2-pt-0.1
20039,5,Ellips100,500,5,cma-es-ppmf-dp-2-pt-0.1
37036,5,Ellips100,1000,5,cma-es-ppmf-dp-2-pt-0.1
6907,10,Ellips100,10,5,cma-es-ppmf-dp-2-pt-0.1
5252,10,Ellips100,50,5,cma-es-ppmf-dp-2-pt-0.1
8786,10,Ellips100,100,5,cma-es-ppmf-dp-2-pt-0.1
14471,10,Ellips100,200,5,cma-es-ppmf-dp-2-pt-0.1
19263,10,Ellips100,300,5,cma-es-ppmf-dp-2-pt-0.1
25262,10,Ellips100,400,5,cma-es-ppmf-dp-2-pt-0.1
29057,10,Ellips100,500,5,cma-es-ppmf-dp-2-pt-0.1
51050,10,Ellips100,1000,5,cma-es-ppmf-dp-2-pt-0.1
13749,30,Ellips100,10,5,cma-es-ppmf-dp-2-pt-0.1
23969,30,Ellips100,50,5,cma-es-ppmf-dp-2-pt-0.1
30703,30,Ellips100,100,5,cma-es-ppmf-dp-2-pt-0.1
42611,30,Ellips100,200,5,cma-es-ppmf-dp-2-pt-0.1
49965,30,Ellips100,300,5,cma-es-ppmf-dp-2-pt-0.1
57743,30,Ellips100,400,5,cma-es-ppmf-dp-2-pt-0.1
64127,30,Ellips100,500,5,cma-es-ppmf-dp-2-pt-0.1
104103,30,Ellips100,1000,5,cma-es-ppmf-dp-2-pt-0.1
80398,50,Ellips100,10,5,cma-es-ppmf-dp-2-pt-0.1
56099,50,Ellips100,50,5,cma-es-ppmf-dp-2-pt-0.1
71810,50,Ellips100,100,5,cma-es-ppmf-dp-2-pt-0.1
95876,50,Ellips100,200,5,cma-es-ppmf-dp-2-pt-0.1
116185,50,Ellips100,300,5,cma-es-ppmf-dp-2-pt-0.1
131928,50,Ellips100,400,5,cma-es-ppmf-dp-2-pt-0.1
147794,50,Ellips100,500,5,cma-es-ppmf-dp-2-pt-0.1
191190,50,Ellips100,1000,5,cma-es-ppmf-dp-2-pt-0.1
605681,100,Ellips100,10,5,cma-es-ppmf-dp-2-pt-0.1
159476,100,Ellips100,50,5,cma-es-ppmf-dp-2-pt-0.1
212402,100,Ellips100,100,5,cma-es-ppmf-dp-2-pt-0.1
288032,100,Ellips100,200,5,cma-es-ppmf-dp-2-pt-0.1
365714,100,Ellips100,300,5,cma-es-ppmf-dp-2-pt-0.1
412628,100,Ellips100,400,5,cma-es-ppmf-dp-2-pt-0.1
445889,100,Ellips100,500,5,cma-es-ppmf-dp-2-pt-0.1
666665,100,Ellips100,1000,5,cma-es-ppmf-dp-2-pt-0.1
3321,2,Sphere,10,6,cma-es-ppmf-dp-2-pt-0.1
2702,2,Sphere,50,6,cma-es-ppmf-dp-2-pt-0.1
3332,2,Sphere,100,6,cma-es-ppmf-dp-2-pt-0.1
5828,2,Sphere,200,6,cma-es-ppmf-dp-2-pt-0.1
7524,2,Sphere,300,6,cma-es-ppmf-dp-2-pt-0.1
9222,2,Sphere,400,6,cma-es-ppmf-dp-2-pt-0.1
12524,2,Sphere,500,6,cma-es-ppmf-dp-2-pt-0.1
20019,2,Sphere,1000,6,cma-es-ppmf-dp-2-pt-0.1
4641,5,Sphere,10,6,cma-es-ppmf-dp-2-pt-0.1
3722,5,Sphere,50,6,cma-es-ppmf-dp-2-pt-0.1
5453,5,Sphere,100,6,cma-es-ppmf-dp-2-pt-0.1
9044,5,Sphere,200,6,cma-es-ppmf-dp-2-pt-0.1
12340,5,Sphere,300,6,cma-es-ppmf-dp-2-pt-0.1
15638,5,Sphere,400,6,cma-es-ppmf-dp-2-pt-0.1
19037,5,Sphere,500,6,cma-es-ppmf-dp-2-pt-0.1
34033,5,Sphere,1000,6,cma-es-ppmf-dp-2-pt-0.1
4278,10,Sphere,10,6,cma-es-ppmf-dp-2-pt-0.1
4640,10,Sphere,50,6,cma-es-ppmf-dp-2-pt-0.1
7776,10,Sphere,100,6,cma-es-ppmf-dp-2-pt-0.1
13265,10,Sphere,200,6,cma-es-ppmf-dp-2-pt-0.1
18360,10,Sphere,300,6,cma-es-ppmf-dp-2-pt-0.1
23257,10,Sphere,400,6,cma-es-ppmf-dp-2-pt-0.1
27053,10,Sphere,500,6,cma-es-ppmf-dp-2-pt-0.1
49048,10,Sphere,1000,6,cma-es-ppmf-dp-2-pt-0.1
7292,30,Sphere,10,6,cma-es-ppmf-dp-2-pt-0.1
7853,30,Sphere,50,6,cma-es-ppmf-dp-2-pt-0.1
12725,30,Sphere,100,6,cma-es-ppmf-dp-2-pt-0.1
22310,30,Sphere,200,6,cma-es-ppmf-dp-2-pt-0.1
30400,30,Sphere,300,6,cma-es-ppmf-dp-2-pt-0.1
39698,30,Sphere,400,6,cma-es-ppmf-dp-2-pt-0.1
47093,30,Sphere,500,6,cma-es-ppmf-dp-2-pt-0.1
84083,30,Sphere,1000,6,cma-es-ppmf-dp-2-pt-0.1
65317,50,Sphere,10,6,cma-es-ppmf-dp-2-pt-0.1
12647,50,Sphere,50,6,cma-es-ppmf-dp-2-pt-0.1
20603,50,Sphere,100,6,cma-es-ppmf-dp-2-pt-0.1
34370,50,Sphere,200,6,cma-es-ppmf-dp-2-pt-0.1
