FE,N,Eval,lambda,Iteration,Alg
20502,50,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
35576,50,Sphere,200,1,cma-es-ppmf-dp-2-pt-0.1
48761,50,Sphere,300,1,cma-es-ppmf-dp-2-pt-0.1
56941,50,Sphere,400,1,cma-es-ppmf-dp-2-pt-0.1
67133,50,Sphere,500,1,cma-es-ppmf-dp-2-pt-0.1
106105,50,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
606462,100,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
24632,100,Sphere,50,1,cma-es-ppmf-dp-2-pt-0.1
39086,100,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
63716,100,Sphere,200,1,cma-es-ppmf-dp-2-pt-0.1
93008,100,Sphere,300,1,cma-es-ppmf-dp-2-pt-0.1
119497,100,Sphere,400,1,cma-es-ppmf-dp-2-pt-0.1
143285,100,Sphere,500,1,cma-es-ppmf-dp-2-pt-0.1
239238,100,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
3475,2,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
2600,2,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
3736,2,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
6029,2,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
6922,2,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
10024,2,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
12524,2,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
5895,5,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
3569,5,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
5756,5,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
9446,5,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
12641,5,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
15638,5,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
18536,5,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
36035,5,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
4707,10,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
4895,10,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
8281,10,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
13667,10,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
18661,10,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
23658,10,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
28055,10,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
50049,10,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
9998,30,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
12698,30,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
18987,30,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
30149,30,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
36721,30,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
44510,30,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
52103,30,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
88087,30,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
64195,50,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
25448,50,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
36056,50,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
58691,50,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
70734,50,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
86214,50,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
91682,50,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
147146,50,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
544268,100,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
52478,100,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
80193,100,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
125624,100,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
170365,100,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
212128,100,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
241481,100,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
370369,100,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
3717,2,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
2702,2,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
4039,2,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
6431,2,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
