FE,N,Eval,sigma,Iteration,Alg
4439,2,Rastrigin,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4359,2,Rastrigin,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4079,2,Rastrigin,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3479,2,Rastrigin,1,1,cma-es-ppmf-dp-2-pt-0.1
3199,2,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
2879,2,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
2791,2,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
17839,5,Rastrigin,0.001,1,cma-es-ppmf-dp-2-pt-0.1
17959,5,Rastrigin,0.01,1,cma-es-ppmf-dp-2-pt-0.1
15519,5,Rastrigin,0.1,1,cma-es-ppmf-dp-2-pt-0.1
15579,5,Rastrigin,1,1,cma-es-ppmf-dp-2-pt-0.1
12919,5,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
12579,5,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
10439,5,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
85399,10,Rastrigin,0.001,1,cma-es-ppmf-dp-2-pt-0.1
69399,10,Rastrigin,0.01,1,cma-es-ppmf-dp-2-pt-0.1
80719,10,Rastrigin,0.1,1,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,1,1,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
71119,10,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
60199,10,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.001,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.01,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.1,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,1,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,0.001,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,0.01,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,0.1,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,1,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
4591,2,Schaffer,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4535,2,Schaffer,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4207,2,Schaffer,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3831,2,Schaffer,1,1,cma-es-ppmf-dp-2-pt-0.1
3367,2,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
3127,2,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
2775,2,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
17759,5,Schaffer,0.001,1,cma-es-ppmf-dp-2-pt-0.1
16599,5,Schaffer,0.01,1,cma-es-ppmf-dp-2-pt-0.1
16859,5,Schaffer,0.1,1,cma-es-ppmf-dp-2-pt-0.1
15879,5,Schaffer,1,1,cma-es-ppmf-dp-2-pt-0.1
12779,5,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
12079,5,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
10279,5,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
100039,10,Schaffer,0.001,1,cma-es-ppmf-dp-2-pt-0.1
99399,10,Schaffer,0.01,1,cma-es-ppmf-dp-2-pt-0.1
100039,10,Schaffer,0.1,1,cma-es-ppmf-dp-2-pt-0.1
85319,10,Schaffer,1,1,cma-es-ppmf-dp-2-pt-0.1
46599,10,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
54519,10,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
49519,10,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,0.001,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,0.01,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,0.1,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,1,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,0.001,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,0.01,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,0.1,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,1,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
4439,2,Schwefel,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4255,2,Schwefel,0.01,1,cma-es-ppmf-dp-2-pt-0.1
