FE,N,Eval,lambda,Iteration,Alg
3387,2,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
6068,2,Rastrigin,50,1,cma-es-ppmf-dp-2-pt-0.1
9695,2,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
10049,2,Rastrigin,200,1,cma-es-ppmf-dp-2-pt-0.1
12340,2,Rastrigin,300,1,cma-es-ppmf-dp-2-pt-0.1
14034,2,Rastrigin,400,1,cma-es-ppmf-dp-2-pt-0.1
17534,2,Rastrigin,500,1,cma-es-ppmf-dp-2-pt-0.1
20019,2,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
13837,5,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
18359,5,Rastrigin,50,1,cma-es-ppmf-dp-2-pt-0.1
30703,5,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
23918,5,Rastrigin,200,1,cma-es-ppmf-dp-2-pt-0.1
19865,5,Rastrigin,300,1,cma-es-ppmf-dp-2-pt-0.1
21653,5,Rastrigin,400,1,cma-es-ppmf-dp-2-pt-0.1
27554,5,Rastrigin,500,1,cma-es-ppmf-dp-2-pt-0.1
42041,5,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
65207,10,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
100010,10,Rastrigin,50,1,cma-es-ppmf-dp-2-pt-0.1
100090,10,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
18089,10,Rastrigin,200,1,cma-es-ppmf-dp-2-pt-0.1
22574,10,Rastrigin,300,1,cma-es-ppmf-dp-2-pt-0.1
30876,10,Rastrigin,400,1,cma-es-ppmf-dp-2-pt-0.1
35069,10,Rastrigin,500,1,cma-es-ppmf-dp-2-pt-0.1
61060,10,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
21295,30,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
300032,30,Rastrigin,50,1,cma-es-ppmf-dp-2-pt-0.1
300070,30,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
300092,30,Rastrigin,200,1,cma-es-ppmf-dp-2-pt-0.1
300096,30,Rastrigin,300,1,cma-es-ppmf-dp-2-pt-0.1
