FE,N,Eval,sigma,Iteration,Alg
46399,50,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
44999,50,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
49599,50,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
249199,100,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
241599,100,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
220399,100,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
207599,100,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
191199,100,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
171599,100,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
191999,100,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
4807,2,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4335,2,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4031,2,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3839,2,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
3327,2,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
3087,2,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
2807,2,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
3599,5,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
3259,5,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
3039,5,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3379,5,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
3159,5,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
3239,5,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
2999,5,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
5759,10,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
5919,10,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
5399,10,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
4959,10,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
