FE,N,Eval,p_target,d_param,Iteration,Alg
3759,5,Sphere,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
3439,5,Sphere,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
2799,5,Sphere,0.6,0.1,1,cma-es-ppmf-dp-0.1-pt-0.6
4439,5,Sphere,0.9,0.1,1,cma-es-ppmf-dp-0.1-pt-0.9
5179,5,Sphere,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
3539,5,Sphere,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
2639,5,Sphere,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
2159,5,Sphere,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
1799,5,Sphere,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
1579,5,Sphere,0.6,0.3,1,cma-es-ppmf-dp-0.3-pt-0.6
2939,5,Sphere,0.9,0.3,1,cma-es-ppmf-dp-0.3-pt-0.9
4419,5,Sphere,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
2819,5,Sphere,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
2059,5,Sphere,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
1679,5,Sphere,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
1419,5,Sphere,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
1539,5,Sphere,0.6,0.5,1,cma-es-ppmf-dp-0.5-pt-0.6
2559,5,Sphere,0.9,0.5,1,cma-es-ppmf-dp-0.5-pt-0.9
3399,5,Sphere,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
2059,5,Sphere,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
1539,5,Sphere,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
1499,5,Sphere,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
1319,5,Sphere,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
1459,5,Sphere,0.6,1,1,cma-es-ppmf-dp-1-pt-0.6
11499,5,Sphere,0.9,1,1,cma-es-ppmf-dp-1-pt-0.9
2679,5,Sphere,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
1559,5,Sphere,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
1599,5,Sphere,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
2139,5,Sphere,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
2419,5,Sphere,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
2559,5,Sphere,0.6,2,1,cma-es-ppmf-dp-2-pt-0.6
9279,5,Sphere,0.9,2,1,cma-es-ppmf-dp-2-pt-0.9
13279,5,Sphere,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
