FE,N,Eval,p_target,d_param,Iteration,Alg
6767,2,Rastrigin,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
7807,2,Rastrigin,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
4775,2,Rastrigin,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
5159,2,Rastrigin,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
5631,2,Rastrigin,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
4159,2,Rastrigin,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
4847,2,Rastrigin,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
5759,2,Rastrigin,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
4695,2,Rastrigin,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
1327,2,Rastrigin,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
3823,2,Rastrigin,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
4319,2,Rastrigin,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
5567,2,Rastrigin,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
5207,2,Rastrigin,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
1047,2,Rastrigin,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
3487,2,Rastrigin,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
4151,2,Rastrigin,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
5007,2,Rastrigin,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
7143,2,Rastrigin,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
6383,2,Rastrigin,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
3543,2,Rastrigin,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
3799,2,Rastrigin,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
4839,2,Rastrigin,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
8695,2,Rastrigin,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
7335,2,Rastrigin,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
9623,2,Rastrigin,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
11191,2,Rastrigin,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
10767,2,Rastrigin,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
16895,2,Rastrigin,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
12839,2,Rastrigin,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
13159,2,Rastrigin,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
12399,2,Rastrigin,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
16583,2,Rastrigin,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
9895,2,Rastrigin,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
4119,2,Rastrigin,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
13215,2,Rastrigin,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
5871,2,Rastrigin,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
19567,2,Rastrigin,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
12463,2,Rastrigin,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
7319,2,Rastrigin,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
22919,5,Rastrigin,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
29759,5,Rastrigin,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
22479,5,Rastrigin,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
14939,5,Rastrigin,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
18279,5,Rastrigin,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
17619,5,Rastrigin,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
20099,5,Rastrigin,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
26279,5,Rastrigin,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
16019,5,Rastrigin,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
21659,5,Rastrigin,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
16539,5,Rastrigin,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
19339,5,Rastrigin,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
18559,5,Rastrigin,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
21739,5,Rastrigin,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
25079,5,Rastrigin,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
15099,5,Rastrigin,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
17739,5,Rastrigin,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
21079,5,Rastrigin,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
50019,5,Rastrigin,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
20239,5,Rastrigin,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
14299,5,Rastrigin,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
18199,5,Rastrigin,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
